0 1 2
781000.0 5728000.0 1533.754883
782000.0 5728000.0 1499.682617
783000.0 5728000.0 1462.611328
784000.0 5728000.0 1429.216797
785000.0 5728000.0 1411.838867
786000.0 5728000.0 1427.396484
787000.0 5728000.0 1493.604492
788000.0 5728000.0 1610.782227
789000.0 5728000.0 1762.006836
790000.0 5728000.0 1934.383789
791000.0 5728000.0 2116.588379
792000.0 5728000.0 2297.432129
793000.0 5728000.0 2464.964844
794000.0 5728000.0 2605.773926
795000.0 5728000.0 2705.663574
796000.0 5728000.0 2756.303223
797000.0 5728000.0 2775.09375
798000.0 5728000.0 2776.195801
799000.0 5728000.0 2771.291016
800000.0 5728000.0 2768.42334
801000.0 5728000.0 2771.949219
802000.0 5728000.0 2782.984863
749000.0 5727000.0 1687.924805
750000.0 5727000.0 1693.929688
751000.0 5727000.0 1699.337402
752000.0 5727000.0 1704.124023
753000.0 5727000.0 1708.265625
754000.0 5727000.0 1711.734863
755000.0 5727000.0 1714.501465
756000.0 5727000.0 1716.51709
757000.0 5727000.0 1717.727051
758000.0 5727000.0 1718.057129
759000.0 5727000.0 1717.422363
760000.0 5727000.0 1715.72998
761000.0 5727000.0 1712.88916
762000.0 5727000.0 1708.818848
763000.0 5727000.0 1703.466309
764000.0 5727000.0 1696.812988
765000.0 5727000.0 1688.890137
766000.0 5727000.0 1679.78418
767000.0 5727000.0 1669.63623
768000.0 5727000.0 1658.640625
769000.0 5727000.0 1647.026367
770000.0 5727000.0 1635.037109
771000.0 5727000.0 1622.897461
772000.0 5727000.0 1610.783203
773000.0 5727000.0 1598.774414
774000.0 5727000.0 1586.821289
775000.0 5727000.0 1574.708984
776000.0 5727000.0 1562.040039
777000.0 5727000.0 1548.243164
778000.0 5727000.0 1532.629883
779000.0 5727000.0 1514.521484
780000.0 5727000.0 1493.493164
781000.0 5727000.0 1469.776367
782000.0 5727000.0 1444.866211
783000.0 5727000.0 1422.325195
784000.0 5727000.0 1408.633789
785000.0 5727000.0 1413.494141
786000.0 5727000.0 1448.413086
787000.0 5727000.0 1522.915039
788000.0 5727000.0 1637.335937
789000.0 5727000.0 1782.925781
790000.0 5727000.0 1949.636719
791000.0 5727000.0 2127.362793
792000.0 5727000.0 2305.601074
793000.0 5727000.0 2472.520508
794000.0 5727000.0 2613.22168
795000.0 5727000.0 2707.165527
796000.0 5727000.0 2731.13916
797000.0 5727000.0 2726.310059
798000.0 5727000.0 2707.11084
799000.0 5727000.0 2687.050293
800000.0 5727000.0 2674.611816
801000.0 5727000.0 2673.612793
802000.0 5727000.0 2682.992188
803000.0 5727000.0 2700.596191
804000.0 5727000.0 2725.084961
805000.0 5727000.0 2755.734863
806000.0 5727000.0 2791.908203
744000.0 5726000.0 1643.213867
745000.0 5726000.0 1651.374023
746000.0 5726000.0 1659.070801
747000.0 5726000.0 1666.259766
748000.0 5726000.0 1672.89502
749000.0 5726000.0 1678.938477
750000.0 5726000.0 1684.353027
751000.0 5726000.0 1689.107422
752000.0 5726000.0 1693.174316
753000.0 5726000.0 1696.526367
754000.0 5726000.0 1699.13623
755000.0 5726000.0 1700.969238
756000.0 5726000.0 1701.980957
757000.0 5726000.0 1702.116211
758000.0 5726000.0 1701.304688
759000.0 5726000.0 1699.463867
760000.0 5726000.0 1696.503418
761000.0 5726000.0 1692.331543
762000.0 5726000.0 1686.867188
763000.0 5726000.0 1680.050293
764000.0 5726000.0 1671.853516
765000.0 5726000.0 1662.291504
766000.0 5726000.0 1651.431152
767000.0 5726000.0 1639.392578
768000.0 5726000.0 1626.347656
769000.0 5726000.0 1612.504883
770000.0 5726000.0 1598.091797
771000.0 5726000.0 1583.336914
772000.0 5726000.0 1568.431641
773000.0 5726000.0 1553.503906
774000.0 5726000.0 1538.592773
775000.0 5726000.0 1523.623047
776000.0 5726000.0 1508.412109
777000.0 5726000.0 1492.692383
778000.0 5726000.0 1476.197266
779000.0 5726000.0 1458.792969
780000.0 5726000.0 1440.71582
781000.0 5726000.0 1422.90918
782000.0 5726000.0 1407.458984
783000.0 5726000.0 1398.0625
784000.0 5726000.0 1400.334961
785000.0 5726000.0 1421.56543
786000.0 5726000.0 1469.392578
787000.0 5726000.0 1549.259766
788000.0 5726000.0 1661.303711
789000.0 5726000.0 1800.324219
790000.0 5726000.0 1958.741211
791000.0 5726000.0 2127.946289
792000.0 5726000.0 2298.516602
793000.0 5726000.0 2459.678711
794000.0 5726000.0 2597.533203
795000.0 5726000.0 2689.009277
796000.0 5726000.0 2675.869141
797000.0 5726000.0 2653.302734
798000.0 5726000.0 2617.286621
799000.0 5726000.0 2585.765625
800000.0 5726000.0 2567.591309
